SID,SEASON,NUMBER,BASIN,SUBBASIN,NAME,ISO_TIME,NATURE,LAT,LON,CAT,WIND,PRES
,Year,,,,,,,degrees_north,degrees_east,1,kts,mb
2022008S13148,2022,1,SP,EA,TIFFANY,20220108000000,MX,-11.9,147.9,-3,25,1007
2022008S13148,2022,1,SP,EA,TIFFANY,20220108030000,MX,-12.4,147.7,20,25,1007
2022008S13148,2022,1,SP,EA,TIFFANY,20220108060000,MX,-13.4,148.0,20,25,1004
2022008S13148,2022,1,SP,EA,TIFFANY,20220108090000,MX,-13.0,148.0,20,23,1006
2022008S13148,2022,1,SP,EA,TIFFANY,20220108120000,TS,-13.2,148.0,20,30,1004
2022008S13148,2022,1,SP,EA,TIFFANY,20220108150000,TS,-13.5,148.0,20,28,1003
2022008S13148,2022,1,SP,EA,TIFFANY,20220108180000,TS,-13.7,147.8,-1,30,1001
2022008S13148,2022,1,SP,EA,TIFFANY,20220108210000,TS,-13.9,147.5,20,30,1001
2022008S13148,2022,1,SP,EA,TIFFANY,20220109000000,TS,-13.9,147.3,20,35,998
2022008S13148,2022,1,SP,EA,TIFFANY,20220109030000,TS,-14.1,147.1,20,40,998
2022008S13148,2022,1,SP,EA,TIFFANY,20220109060000,TS,-14.0,146.9,30,40,995
2022008S13148,2022,1,SP,EA,TIFFANY,20220109090000,TS,-14.1,146.3,0,50,994
2022008S13148,2022,1,SP,EA,TIFFANY,20220109120000,TS,-13.9,145.9,0,55,992
2022008S13148,2022,1,SP,EA,TIFFANY,20220109150000,TS,-14.0,145.4,0,50,991
2022008S13148,2022,1,SP,EA,TIFFANY,20220109180000,TS,-14.1,144.9,0,60,990
2022008S13148,2022,1,SP,EA,TIFFANY,20220109210000,TS,-14.1,144.5,0,55,991
2022008S13148,2022,1,SP,EA,TIFFANY,20220110000000,TS,-14.2,144.1,30,60,989
2022008S13148,2022,1,SP,EA,TIFFANY,20220110030000,TS,-14.4,144.0,30,45,993
2022008S13148,2022,1,SP,EA,TIFFANY,20220110060000,TS,-14.6,143.7,0,35,994
2022008S13148,2022,1,SP,EA,TIFFANY,20220110090000,TS,-14.6,143.2,30,38,999
2022008S13148,2022,1,SP,EA,TIFFANY,20220110120000,TS,-14.6,142.7,20,30,1003
2022008S13148,2022,1,SP,EA,TIFFANY,20220110150000,TS,-14.6,142.3,-1,30,1003
2022008S13148,2022,1,SP,EA,TIFFANY,20220110180000,TS,-14.5,141.9,-1,30,1002
2022008S13148,2022,1,SP,EA,TIFFANY,20220110210000,TS,-14.4,141.3,0,33,1002
2022008S13148,2022,1,SP,EA,TIFFANY,20220111000000,TS,-14.5,141.1,21,40,1000
2022008S13148,2022,1,SP,EA,TIFFANY,20220111030000,TS,-14.8,140.6,21,35,1000
2022008S13148,2022,1,SP,EA,TIFFANY,20220111060000,TS,-14.9,139.7,0,35,998
2022008S13148,2022,1,SP,EA,TIFFANY,20220111090000,TS,-14.9,139.0,21,45,998
2022008S13148,2022,1,SP,EA,TIFFANY,20220111120000,TS,-14.9,138.0,0,50,995
2022008S13148,2022,1,SP,EA,TIFFANY,20220111150000,TS,-14.9,137.3,0,53,994
2022008S13148,2022,1,SP,EA,TIFFANY,20220111180000,TS,-14.8,136.7,30,55,992
2022008S13148,2022,1,SP,EA,TIFFANY,20220111210000,TS,-14.8,136.1,30,50,993
2022008S13148,2022,1,SP,EA,TIFFANY,20220112000000,TS,-14.7,135.4,30,50,992
2022008S13148,2022,1,SI,WA,TIFFANY,20220112030000,TS,-14.6,134.5,0,43,996
2022008S13148,2022,1,SI,WA,TIFFANY,20220112060000,TS,-14.5,133.7,21,35,1000
2022008S13148,2022,1,SI,WA,TIFFANY,20220112090000,TS,-14.7,133.3,-1,33,1002
2022008S13148,2022,1,SI,WA,TIFFANY,20220112120000,TS,-14.7,132.9,-1,25,1004
2022008S13148,2022,1,SI,WA,TIFFANY,20220112150000,TS,-15.0,132.4,20,25,999
2022008S13148,2022,1,SI,WA,TIFFANY,20220112180000,TS,-15.1,131.8,-1,25,1002
2022008S13148,2022,1,SI,WA,TIFFANY,20220112210000,TS,-15.3,131.1,20,25,1001
2022008S13148,2022,1,SI,WA,TIFFANY,20220113000000,TS,-15.4,130.5,20,15,1002
2022008S13148,2022,1,SI,WA,TIFFANY,20220113030000,TS,-15.6,130.1,20,15,1001
2022008S13148,2022,1,SI,WA,TIFFANY,20220113060000,MX,-15.5,129.4,20,20,1000
2022008S13148,2022,1,SI,WA,TIFFANY,20220113090000,MX,-15.6,128.7,20,20,1000
2022008S13148,2022,1,SI,WA,TIFFANY,20220113120000,MX,-15.9,127.9,20,15,1005
2022008S13148,2022,1,SI,WA,TIFFANY,20220113150000,MX,-15.9,127.5,-3,20,1005
2022008S13148,2022,1,SI,WA,TIFFANY,20220113180000,MX,-16.0,126.8,-3,15,1000
2022008S13148,2022,1,SI,WA,TIFFANY,20220113210000,MX,-16.1,126.6,20,20,1000
2022008S13148,2022,1,SI,WA,TIFFANY,20220114000000,MX,-16.0,126.4,-3,20,1000
2022008S13148,2022,1,SI,WA,TIFFANY,20220114030000,MX,-16.5,126.0,20,15,1002
2022008S13148,2022,1,SI,WA,TIFFANY,20220114060000,TS,-16.8,125.7,20,25,999
2022008S13148,2022,1,SI,WA,TIFFANY,20220114090000,TS,-17.0,125.9,20,25,999
2022008S13148,2022,1,SI,WA,TIFFANY,20220114120000,TS,-16.5,125.4,20,15,998
2022008S13148,2022,1,SI,WA,TIFFANY,20220114150000,TS,-16.7,125.2,20,25,999
2022008S13148,2022,1,SI,WA,TIFFANY,20220114180000,TS,-17.0,125.2,20,15,999
2022008S13148,2022,1,SI,WA,TIFFANY,20220114210000,TS,-17.6,125.0,-1,15,1000
2022008S13148,2022,1,SI,WA,TIFFANY,20220115000000,MX,-17.6,124.7,20,20,1000
2022008S13148,2022,1,SI,WA,TIFFANY,20220115030000,MX,-18.2,124.5,20,18,997
2022008S13148,2022,1,SI,WA,TIFFANY,20220115060000,MX,-19.0,124.8,20,20,1001
2022008S13148,2022,1,SI,WA,TIFFANY,20220115090000,TS,-19.2,124.8,20,20,998
